n_nodes,model_path,prune (y/n),|Q|,|e|,map/mpe,order_method,iteration,time
25,testing/rand_bn_nodes_25_4.BIFXML,True,8,8,map,min_degree,0,1874178000
25,testing/rand_bn_nodes_25_4.BIFXML,True,8,8,map,min_degree,1,2758415000
25,testing/rand_bn_nodes_25_4.BIFXML,True,8,8,map,min_degree,2,2377412000
25,testing/rand_bn_nodes_25_4.BIFXML,True,8,8,map,min_degree,3,2449307000
25,testing/rand_bn_nodes_25_4.BIFXML,True,8,8,map,min_degree,4,2299116000
25,testing/rand_bn_nodes_25_5.BIFXML,True,8,8,map,min_degree,0,5252845000
25,testing/rand_bn_nodes_25_5.BIFXML,True,8,8,map,min_degree,1,5322685000
25,testing/rand_bn_nodes_25_5.BIFXML,True,8,8,map,min_degree,2,5094873000
25,testing/rand_bn_nodes_25_5.BIFXML,True,8,8,map,min_degree,3,5945446000
25,testing/rand_bn_nodes_25_5.BIFXML,True,8,8,map,min_degree,4,6269307000
5,testing/rand_bn_nodes_5_1.BIFXML,False,1,1,map,min_fill,0,56946000
5,testing/rand_bn_nodes_5_1.BIFXML,False,1,1,map,min_fill,1,35339000
5,testing/rand_bn_nodes_5_1.BIFXML,False,1,1,map,min_fill,2,56737000
5,testing/rand_bn_nodes_5_1.BIFXML,False,1,1,map,min_fill,3,43517000
5,testing/rand_bn_nodes_5_1.BIFXML,False,1,1,map,min_fill,4,89360000
5,testing/rand_bn_nodes_5_2.BIFXML,False,1,1,map,min_fill,0,50382000
5,testing/rand_bn_nodes_5_2.BIFXML,False,1,1,map,min_fill,1,50893000
5,testing/rand_bn_nodes_5_2.BIFXML,False,1,1,map,min_fill,2,72980000
5,testing/rand_bn_nodes_5_2.BIFXML,False,1,1,map,min_fill,3,62718000
5,testing/rand_bn_nodes_5_2.BIFXML,False,1,1,map,min_fill,4,53264000
5,testing/rand_bn_nodes_5_3.BIFXML,False,1,1,map,min_fill,0,56818000
5,testing/rand_bn_nodes_5_3.BIFXML,False,1,1,map,min_fill,1,32683000
5,testing/rand_bn_nodes_5_3.BIFXML,False,1,1,map,min_fill,2,27017000
5,testing/rand_bn_nodes_5_3.BIFXML,False,1,1,map,min_fill,3,52576000
5,testing/rand_bn_nodes_5_3.BIFXML,False,1,1,map,min_fill,4,26397000
5,testing/rand_bn_nodes_5_4.BIFXML,False,1,1,map,min_fill,0,38430000
5,testing/rand_bn_nodes_5_4.BIFXML,False,1,1,map,min_fill,1,35305000
5,testing/rand_bn_nodes_5_4.BIFXML,False,1,1,map,min_fill,2,33333000
5,testing/rand_bn_nodes_5_4.BIFXML,False,1,1,map,min_fill,3,61080000
5,testing/rand_bn_nodes_5_4.BIFXML,False,1,1,map,min_fill,4,41320000
5,testing/rand_bn_nodes_5_5.BIFXML,False,1,1,map,min_fill,0,36665000
5,testing/rand_bn_nodes_5_5.BIFXML,False,1,1,map,min_fill,1,45394000
5,testing/rand_bn_nodes_5_5.BIFXML,False,1,1,map,min_fill,2,51985000
5,testing/rand_bn_nodes_5_5.BIFXML,False,1,1,map,min_fill,3,51881000
5,testing/rand_bn_nodes_5_5.BIFXML,False,1,1,map,min_fill,4,26899000
10,testing/rand_bn_nodes_10_1.BIFXML,False,3,3,map,min_fill,0,88949000
10,testing/rand_bn_nodes_10_1.BIFXML,False,3,3,map,min_fill,1,95661000
10,testing/rand_bn_nodes_10_1.BIFXML,False,3,3,map,min_fill,2,141683000
10,testing/rand_bn_nodes_10_1.BIFXML,False,3,3,map,min_fill,3,133539000
10,testing/rand_bn_nodes_10_1.BIFXML,False,3,3,map,min_fill,4,98495000
10,testing/rand_bn_nodes_10_2.BIFXML,False,3,3,map,min_fill,0,97962000
10,testing/rand_bn_nodes_10_2.BIFXML,False,3,3,map,min_fill,1,87815000
10,testing/rand_bn_nodes_10_2.BIFXML,False,3,3,map,min_fill,2,72452000
10,testing/rand_bn_nodes_10_2.BIFXML,False,3,3,map,min_fill,3,109478000
10,testing/rand_bn_nodes_10_2.BIFXML,False,3,3,map,min_fill,4,77667000
10,testing/rand_bn_nodes_10_3.BIFXML,False,3,3,map,min_fill,0,106780000
10,testing/rand_bn_nodes_10_3.BIFXML,False,3,3,map,min_fill,1,155376000
10,testing/rand_bn_nodes_10_3.BIFXML,False,3,3,map,min_fill,2,89011000
10,testing/rand_bn_nodes_10_3.BIFXML,False,3,3,map,min_fill,3,82905000
